notice_date,event_number,reason,company,address,county,phone,business_type,affected,total_employees,layoff_date,dislocation,union,classification
5/1/2019,2018-0199,Plant Closing,Celmatix Inc. (Operations Office),"14 Wall Street New York, NY 10005",New York County,(917) 371-2506,Biotechnology company,48,48,Employment,Economic,The employees are not represented by a union.,Plant Closing
5/1/2019,2018-0394,Plant Closing,"HN Precision, DBA Nationwide Precision Products","200 Tech Park Drive Rochester, NY 14623",Monroe County,(224) 419-6038,Machining manufacturer,50,50,Layoffs,Economic,The employees are not represented by a union.,Plant Closing
5/1/2019,2018-0392,Plant Unit Closing,Frontier Communications Corp.,"(Technical Support Organization) 122S Jefferson Rd. Rochester, NY 14623",Monroe County,(585) 777-5559,Wired Telecommunications Carriers,286,0,The,Economic,The employees are not represented by a union.,Plant Unit Closing
4/26/2019,2018-0384,Plant Layoff,Quin Central Park Hotel,"101 W 57th St, New York, NY 10019",New York County,(646) 589-6550,Hotel services,10,105,8/1/2019,Curtailing housekeeping operations due to renovation of its rooms,"New York Hotel and Motel Trades Council, AFL-CIO",PlantLayoff
4/29/2019,2018-0385,Plant Closing,NYSARC Inc.- Suffolk Inc. (AHRC Suffolk) at Shoreham ICF facility,"283 Route 25A Shoreham, NY 11786",Suffolk County,(631) 585-0100 Ext,Non-profit organization dedicated to applying professional and financial resources toward improving the lives of people.,285,285,Separations,Transferring operations of its Shoreham ICF facility to Citizens Option Unlimited.,The employees are not represented by a union.,Plant Closing
4/8/2019,2018-0386,Plant Closing,The College of New Rochelle,"Main Campus 29 Castle Place New Rochelle, NY 10805",Westchester County,(914) 654-5996,College,857,857,7/8/2019,Economic,International Brotherhood of Teamsters Local 445,Plant Closing
4/23/2019,2018-0382,Plant Layoff,Eastman Kodak Company (Kodak Office),"343 State Street Rochester, NY 14650",Monroe County,(585) 724-6615,Photographic equipment and Supplies,1,0,7/21/2019,Economic,The employee is not represented by a union.,Plant Layoff
4/12/2019,2018-0383,Plant Closing,"Sodexo, Inc. (at Westchester Medical Center)","100 Woods Road Valhalla, NY 10595",Westchester County,(908) 463-8788,Perform ES/Custodial Services,263,263,9/29/2019,Loss of contract,SEIU United Healthcare Workers East,Plant Closing
4/19/2019,2018-0378,Plant Closing,Anvil NY LLC dba Benchmarc Restaurants by Marc Murphy,"179 West Broadway New York, NY 10013",New York County,(917) 975-3162,Restaurant,6,133,Separations,Economic,The employees are not represented by a union.,Plant Closing
4/19/2019,2018-0380,Plant Closing,"Applebee's (TLC Central, LLC)","Woodbury Common 448 Evergreen Court Central Valley, NY 10917",Orange County,(716) 634-7700,Restaurant,55,55,7/16/2019,Economic,The employees are not represented by a union.,Plant Closing
4/11/2019,2018-0375,Possible Plant Closing,"EZ Mailing Services, Inc.","147-34 176th Street Jamaica, NY 11434",Queens County,(908) 527-6995 Ext. 122,Mailing Services,92,92,4/19/2019,The company is in the process of attempting to sell the business.,The employees are not represented by a union.,Possible Plant Closing
4/17/2019,2018-0379,Plant Closing,"Association for Metroarea Autistic Children, Inc.","25 West 17th Street New York, NY 10011",New York County,(212) 645-5005 Ext,School for children with autism and special needs,77,77,6/26/2019,Economic,The employees are not represented by a union.,Plant Closing
4/18/2019,2018-0377,Plant Unit Closing,100 Resilient Cities (a sponsored project of Rockefeller Philanthropy Advisors),"420 Fifth Avenue New York, NY 10018",New York County,(212) 812-4317,The Rockefeller Foundation launched 100 Resilient Cities to help cities around the world become more resilient to the challenges of the 21st century.,49,49,7/31/2019,Funding ceased.,The employees are not represented by a union.,Plant Unit Closing
4/15/2019,2018-0371,Plant Closing,"Aramark Educational Services, LLC (at Barnard College & Java City)","607 W. 116th Street New York, NY 10027",New York County,(302) 287-6749,"Provides food service, facilities and uniform services to hospitals, universities, school districts, stadiums and other businesses.",61,61,6/30/2019,Loss of contract,Transport Workers Union Local 264,Plant Closing
4/16/2019,2018-0373,Plant Closing,Concentrix CVG Corporation (formerly Convergys Corporation),"146 Arsenal Street Watertown, NY 13601",Jefferson County,(513) 592-6050,Inbound Call Center,244,396,The,Loss of Contract,The employees are not represented by a union.,Plant Closing
4/10/2019,2018-0370,Plant Layoff,Eastman Kodak Company (Kodak Research Labs),"1999 Lake Avenue Rochester, NY 14650",Monroe County,(585) 724-6615,Photographic equipment and Supplies,3,0,7/8/2019,Economic,The employees are not represented by a union.,Plant Layoff
2/19/2019,2018-0369,Plant Layoff,"Goldman, Sachs & Co. LLC","200 West Street New York, NY 10282",New York County,(212) 357-2191,Global investment banking,98,9323,Separations,Economic,The employees are not represented by a union.,Plant Layoff
4/9/2019,2018-0367,Possible Plant Closing,"Sizmek Technologies, Inc.","401 Park Avenue, South, 5th Floor New York, NY 10016",New York County,(212) 402-8766,Advertising Agency,135,91,Forty-four,Economic,The employees are not represented by a union.,Possible Plant Closing
4/1/2019,2018-0368,Possible PlantClosing,Transit Management of Dutchess County,"14 Commerce Street Poughkeepsie, NY 12603",Dutchess County,(845) 473-8665,Dutchess County Public Transit bus system operator,95,95,6/30/2019,Possible loss of contract with Dutchess County,Teamsters Local 445,Possible PlantClosing
4/5/2019,2018-0362,Plant Layoff,AllianceBernstein L.P. (Phase 4),"1345 Sixth Avenue New York, NY 10105",New York County,(212) 969-6169,Providing investment management and research services,30,1499,7/8/2019,"Relocation of Corporate Headquarters to Nashville, Tennessee",The employees are not represented by a union.,Plant Layoff
3/29/2019,2018-0365,Plant Layoff,Banfi Products Corporation,"1111 Cedar Swamp Road Glen Head, NY 11545",Nassau County,(516) 686-2579,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,1,96,One,Economic,The employee is not represented by a union.,Plant Layoff
4/5/2019,2018-0366,Plant Layoff,Banfi Products Corporation,"1111 Cedar Swamp Road Glen Head, NY 11545",Nassau County,(516) 686-2579,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,1,96,One,Economic,The employee is not represented by a union.,Plant Layoff
3/21/2019,2018-0357,Plant Closing,ShipBob. Inc.,"87 34th Street Brooklyn, NY 11230",Kings County,(844) 474-4726,Affordable fulfillment center with many fulfillment warehouses,54,54,Separations,Relocating to a new facility in Pennsylvania,The employees are not represented by a union.,Plant Closing
4/3/2019,2018-0360,Plant Closing,JCPenney Store #2756,"9 Smith Haven Mall Lake Grove, NY 11755",Suffolk County,(201) 321-3322,Retail,98,98,Separations,Economic,The employees are not represented by a union.,Plant Closing
4/1/2019,2018-0361,Plant Closing,"Sodexo, Inc. (at Mohawk Valley Community College)","1101 Sherman Dr. Utica, NY 13501-5308",Oneida County,(860) 546-6547,Food Service Contractor,49,49,Separations,Loss of contract,The employees are not represented by a union.,Plant Closing
4/2/2019,2018-0359,Plant Closing,"Irving Plaza (venue operated by Live Nation Worldwide, Inc.)","17 Irving Place New York, NY 10003",New York County,(832) 359-8607,Ballroom-style music venue,63,63,As,Renovations,The employees are not represented by a union.,Plant Closing
3/29/2019,2018-0346,Plant Closing,"Aramark Educational Services, LLC (at New York University)","60 Washington Square South New York, NY 10012",New York County,(619) 777-3596,"Provides food service, facilities and uniform services to hospitals, universities, school districts, stadiums and other businesses around the world",57,461,6/30/2019,Loss of contract,The employees are not represented by a union.,Plant Closing
3/29/2019,2018-0343,Plant Layoff,"Web.com Group, Inc.","330 W. 34th Street, 16th Floor New York, NY 10001",New York County,(904) 680-6600,Provides a range of Internet services to small businesses,9,13,Separations,Ecomonic,The employees are not represented by a union.,Plant Layoff
4/1/2019,2018-0345,Plant Closing,Tiegerman Middle School,"70-24 47th Avenue Woodside, NY 11377",Queens County,(516) 609-6245,School,35,35,7/1/2019,"Relocating to Glen Cove, New York in July 2019",The employees are not represented by a union.,Plant Closing
3/28/2019,2018-0344,Plant Layoff,Barclays Services Corp.,"(Chief Operating Office and Functions teams) 745 Seventh Avenue New York, NY 10019",New York County,(212) 526-5862,School,35,35,7/1/2019,"Relocating to Glen Cove, New York in July 2019",The employees are not represented by a union.,Plant Layoff
3/26/2019,2018-0341,Plant Closing,PVH - Tommy Hilfiger,"681 Fifth Avenue New York, NY 10022",New York County,(908) 698-5318,Retail,76,78,Of,Economic,The employees are not represented by a union.,Plant Closing
3/25/2019,2018-0340,Plant Closing,"POP Displays USA, LLC","555 Tuckahoe Road Yonkers, NY 10710",Westchester County,(914) 771-4200,Provides manufactured point of purchase displays for retail and consumer goods companies.,388,388,Beginning,"Relocating business to East Point, Georgia and Rye Brook, NY",Amalgamated Production & Service Employees Union Local 22,Plant Closing
3/13/2019,2016-0317,Plant Closing,Ulano Corporation,"110 Third Avenue Brooklyn, NY 11217",Kings County,(718) 237-4700,Produces photo-sensitive products for the screen printing industry,45,45,The,Consolidation of Operations,"Amalgamated, Production and Service Employees Union, Local 22 (Affiliated with International Union of Allied, Novelty and Production Workers, AFL-CIO)",Plant Closing
3/21/2019,2018-0334,Temporary Plant Unit Closing,"Art Food, LLC dba The Cafes at MoMa, an affiliate of Union Square Hospitality Group, LLC (at the Museum of Modern Art) (Terrace 5)","11 West 53rd Street New York, NY 10019",New York County,(646) 237-5039,Restaurant,121,0,The,Renovations,The employees are not represented by a union.,Temporary Plant Unit Closing
3/26/2019,2018-0319,Plant Closing,Instacart (at Whole Foods Market),"240 Bedford Avenue Brooklyn, NY 11249",Kings County,(650) 549-7334,Food Services/Delivery,43,43,5/11/2019,Economic,The employees are not represented by a union.,Plant Closing
3/29/2019,2018-0333,Plant Layoff,Shop Vac Corporation d/b/a Felchar Manufacturing Corporation,"(Building One) 191 Corporate Drive Binghamton, NY 13904",Broome County,(570) 321-7202,"Manufacturing facility, manufacturing wet/dry vacuums",144,Currently,The,Economic,The employees are not represented by a union.,Plant Layoff
3/14/2019,2018-0329,Plant Layoff,Banfi Products Corporation,"1111 Cedar Swamp Road Glen Head, NY 11545",Nassau County,(516) 686-2579,Wine and Distilled Alcoholic Beverage Merchant Wholesalers and Advertising Agency,11,97,6/11/2019,Economic,"Wine, Liquor & Distillery Workers Union – Local 1- D",Plant Layoff
3/13/2019,2018-0244,Plant Unit Closing,Concentrix CVG Corporation,"(Formerly Convergys Corporation) 146 Arsenal Street Watertown, NY 13601",Jefferson County,(513) 592-6050,"Inbound Call Center; Customer Service, Technical Support",81,540,Separations,Loss of Contract,The employees are not represented by a union.,Plant Unit Closing
3/13/2019,2018-0318,Plant Closing,Centerplate,"(at the Jacob K. Javits Convention Center) 655 W 34th St. New York, NY 10001",New York County,(212) 216-2613,Food Services,273,273,6/15/2019,Contract loss,UNITEHERE Local 100,Plant Closing
3/6/2019,2018-0277,Plant Closing,"Kiss Products, Inc.","(Production Team) 3 Seaview Blvd Port Washington, NY 11050",Nassau County,(516) 625-9292,"Fingernails, Artificial business",55,419,Separation,Moving warehouse functions to New Jersey,The employees are not represented by a union.,Plant Closing
3/8/2019,2018-0305,Plant Closing,"Macy's Systems and Technology, Inc.","(Field Services Operational Unit) 1701 Sunrise Hwy. Bay Shore, NY 11706",Kings County,(678) 474-3281,"Engages in creating, gathering, and directing pieces of data to form management tools",1,57,Separations,Economic,The employees are not represented by a union.,Plant Closing
2/27/2019,2018-0304,Plant Layoff,"Goldman, Sachs & Co. LLC","200 West Street New York, NY 10282",New York County,(212) 357-2191,Global investment banking,65,9323,5/20/2019,Economic,The employees are not represented by a union.,Plant Layoff
3/6/2019,2018-0278,Plant Closing,"Ivy Enterprises, Inc.","(Production Team) 3 Seaview Blvd Port Washington, NY 11050",Nassau County,(516) 625-9292,"Fingernails, Artificial business",4,161,Separation,Moving warehouse functions to New Jersey,The employees are not represented by a union.,Plant Closing
3/6/2019,2018-0303,Plant Closing,"Calvin Klein, Inc. (Corporate Office)","205 West 39th Street New York, NY 10018",New York County,(212) 292-9785,Clothing Retail store,38,38,All,Economic,The employees are not represented by a union.,Plant Unit Closing
3/4/2019,2018-0302,Plant Closing,"SC & BP Services, Inc.","(Texcare site) 1064 62nd Street Brooklyn, NY 11219",Kings County,(908) 912-2700 Ext,Self-service laundries,55,55,June,Economic,UFCW Local 312,Plant Closing
3/4/2019,2018-0300,Plant Closing,"Aramark Educational Services, LLC","(at Clarkson University) 10 Clarkson Avenue Potsdam, NY 13699",St. Lawrence County,(619) 777-3596,"Provides food service, facilities and uniform services to hospitals, universities, school districts, stadiums and other businesses",193,193,6/3/2019,Loss of Contract with Clarkson University,SEIU Local 200 United,Plant Closing
3/7/2019,2018-0192,Plant Closing,"New Era Cap Co., Inc.","8061 Erie Road Derby, NY 14047",Erie County,(716) 604-9000 Ext. 1419,"Manufactures headwear, apparel, and accessories for men, women, youth, and kids",216,216,Employees,Economic,"Local 14177, Communications Workers of America",Plant Closing
2/27/2019,2018-0290,Plant Closing,"Maryhaven Center of Hope, Inc. (Vocational Rehabilitation and Day Habilitation Transportation Services Dept.)","51 Terryville Road Port Jefferson Station, NY 11776",Suffolk County,(631) 474-4100,Vocational Rehabilitation and Day Habilitation Transportation Services Dept.,75,75,All,Acquisition by Suffolk Transportation,The employees are not represented by a union.,Plant Closing
2/28/2019,2018-0288,Plant Closing,"Empire Vision Center, Inc.","(Visionworks - Central Lab) 6940 Fly Road East Syracuse, NY 13057",Onondaga County,(315) 388-7491,Ophthalmic Goods Manufacturing,89,89,June,Economic,Local Union No. 81408 of the IUE/CWA International Union,Plant Closing
2/28/2019,2018-0291,Plant Layoff,MetLife (Global Technology & Operations Department),"500 Jordan Road Troy, NY 12180",Rensselaer County,(919) 907-4388,Insurance company,26,275,These,Economic,The employees are not represented by a union.,Plant Layoff
2/27/2019,2018-0287,Plant Closing,"CareConnect Insurance Company, Inc.","2200 Northern Boulevard, Suite 104 East Hills, NY 11548",Nassau County,(516) 405-7925,Insurance company,31,35,5/1/2019,Implementation of the Care Connect Exit Plan,The employees are not represented by a union.,Plant Closing
2/14/2019,2018-0279,Plant Closing,New England Motor Freight (NEMF),"7201 Schuyler Rd. East Syracuse, NY 13057",Onondaga County,(732) 940-7216 ext. 49260,"General Freight Trucking, Local",63,518,Layoffs,Filed for Chapter 11 Bankruptcy,"Local 447 of District 15 of the International Association of Machinists and Aerospace Workers, AFL-CIO",Plant Closing
2/18/2019,2018-0269,Plant Closing,"Alleson of Rochester, Inc.","2340 Brighton Henrietta Town Line Road Rochester, NY 14623",Monroe County,(704) 874-1099 Ext,Manufactures in-stock uniforms and sublimated garments.,75,116,Separations,Implementing an operational restructuring,"Rochester Regional Joint Board, Local 388, Workers United",Plant Closing
2/19/2019,2018-0260,Plant Closing,"Prestone Press, LLC","4750 30th Street Long Island City, NY 11101",Queens County,(347) 468-7900,Commercial printer,75,75,Separation,Economic,The employees are not represented by a union.,Plant Closing
2/19/2019,2018-0126,Plant Closing,"Ivy Enterprises, Inc.","(Warehouse) 3 Seaview Blvd Port Washington, NY 11050",Nassau County,(516) 625-9292,"Fingernails, Artificial Business",24,161,Separation,Moving warehouse functions to New Jersey,The employees are not represented by a union.,Plant Closing
2/14/2019,2018-0261,Plant Layoff,AllianceBernstein L.P.,"1345 Sixth Avenue New York, NY 10105",New York City County,(212) 969-6169,Providing investment management and research services,98,1517,The,"Relocation of Corporate Headquarters to Nashville, Tennessee",The employees are not represented by a union.,Plant Layoff
2/15/2019,2018-0263,Plant Closing,"Macy's Systems and Technology, Inc. (MTECH Field Services Operational Unit)","Roosevelt Field 630 Old Country Road Garden City, NY 11530",Nassau County,(678) 474-3281,"Engages in creating, gathering, and directing pieces of data to form management tools",1,1,5/19/2019,Economic,The employees are not represented by a union.,Plant Closing
2/15/2019,2018-0272,Possible Plant Layoff/Closing,"The Robert Allen Duralee Group, Inc.","125 Michael Drive, Suite 101 Syosset, NY 11749",Nassau County,(508) 851-6600 Ext,Luxury home décor,5,119,Possible,Chapter 11 filing and sale of business,The employees are not represented by a union.,Possible Plant Layoff/Closing
2/19/2019,2018-0268,Plant Closing,"Thesys CAT, LLC","1740 Broadway, 14th Floor New York, NY 10019",New York County,(646) 499-3467,Computer Programming Services,35,35,2/15/2019,Termination of CAT Project contract,The employees are not represented by a union.,Plant Closing
2/13/2019,2018-0270,Plant Layoff,Eastman Kodak Company (Kodak Office),"343 State Street Rochester, NY 14650",Monroe County,(585) 724-6615,Photographic equipment and Supplies,1,0,5/13/2019,Economic,The employee is not represented by a union.,Plant Layoff
2/13/2019,2018-0259,Plant Closing,Doubletree Suites by Hilton Hotel New York City Times Square,"1568 Broadway New York, NY 10036",New York County,(212) 403-6427,Photographic equipment and Supplies,1,0,5/13/2019,Economic,"New York Hotel  & Motel Trades Council, AFL-CIO",Plant Closing
2/12/2019,2018-0257,Plant Layoff,"Buffalo Filter, LLC","5900 Genesee Street Lancaster, NY 14086",Erie County,(574) 306-8710,Medical equipment manufacturer,15,114,Separations,Economic,The employees are not represented by a union.,Plant Layoff
2/12/2019,2018-0258,Plant Closing,"Fluor Enterprises, Inc.","568 Shore Airport Road Ticonderoga, NY 12883",Essex County,(864) 517-1939,Construction project management,2,2,Separations,Contract loss with International Paper,The employees are not represented by a union.,Plant Closing
2/12/2019,2018-0256,Plant Closing,"Fluor Industrial Services, Inc.","568 Shore Airport Road Ticonderoga, NY 12883",Essex County,(864) 517-1939,Construction project management,20,20,Separations,Contract loss with International Paper,The employees are not represented by a union.,Plant Closing
2/12/2019,2018-0255,Plant Closing,Walmart,"Facility #3577 (Processes online orders) 141 Washington Avenue Ext. Albany,  NY 12205",Albany County,(518) 584-1642,Construction project management,20,20,Separations,Contract loss with International Paper,The employees are not represented by a union.,Plant Closing
1/31/2019,2018-0254,Plant Layoff,Eastman Kodak Company (Kodak Office),"343 State Street Rochester, NY 14650",Monroe County,(585) 724-6615,Photographic equipment and Supplies,1,0,4/30/2019,Economic,The employee is not represented by a union.,Plant Layoff
2/1/2019,2018-0249,Plant Layoff,"Web.com Group, Inc.","330 W. 34th Street, 16th Floor New York, NY 10001",New York County,(904) 680-6600,Provides a range of Internet services to small businesses,39,To,Separations,Ecomonic,The employees are not represented by a union.,Plant Layoff
2/6/2019,2018-0253,Plant Closing,"Eclipse Advantage, LLC","105 Rotterdam Industrial Park Schenectady, NY 12306",Schenectady County,(321) 473-7209,Unloading services with Union Pacific/Cold Connect.,62,62,May,Service contract cancelation with Union Pacific Cold Connect/Railex,The employees are not represented by a union.,Plant Closing
1/31/2019,2018-0251,Plant Closing,St. Joseph School,"25 Church Street Ronkonkoma, NY 11779",Suffolk County,(516) 280-4124,School,38,38,6/26/2019,Economic,The employees are not represented by a union.,Plant Closing
2/1/2019,2018-0247,Plant Layoff,AllianceBernstein L.P.,"1345 Sixth Avenue New York, NY 10105",New York City County,(212) 969-6169,Providing investment management and research services,36,1517,The,"Relocation of Corporate Headquarters to Nashville, Tennessee",The employees are not represented by a union.,Plant Layoff
1/31/2019,2018-0250,Plant Closing,All Saints Regional Catholic School,"12 Pearsall Avenue Glen Cove, NY 11542",Nassau County,(516) 280-4124,Providing investment management and research services,36,1517,The,"Relocation of Corporate Headquarters to Nashville, Tennessee",The employees are not represented by a union.,Plant Closing
1/31/2019,2018-0246,Plant Layoff,Eastman Kodak Company (Eastman Business Park),"1669 Lake Avenue Rochester, NY 14650",Monroe County,(585) 724-6615,Photographic equipment and Supplies,2,0,4/30/2019,Economic,The employees are not represented by a union.,Plant Layoff
1/28/2019,2018-0245,Plant Closing,ABM Aviation Inc.,"Delta Airlines at JFK International Airport. Terminals 2 and 4 Jamaica, NY 11430",Queens County,(718) 917-2079,Cabin cleaning services at Delta Airlines at JFK International Airport. Terminals 2 and 4,528,528,5/3/2019,Contractual Loss,SEIU Local 32BJ,Plant Closing
1/18/2019,"2018-0238, 2018-0239, 2018-0240",Plant Closings,Petland Discounts Inc.,Various Locations,"Nassau, Suffolk County",(631) 521-8326,Retail pet store,367,367,Separations,Economic,The employees are not represented by a union.,Plant Closings
1/15/2019,2018-0233,Plant Layoff,"Metropolitan Jewish Home Care, Inc. d\b\a MJHS Home Care","6323 Seventh Avenue Brooklyn, NY 11220",Kings County,(718) 491-7290,Home care services,112,246,April,Economic,The employees are not represented by a union.,Plant Layoff
1/17/2019,2018-0236,Plant Closing,Centerplate at the New York Racing Association (NYRA),"Saratoga Racetracks 267 Union Avenue Saratoga Springs, NY 12866",Saratoga County,(864) 248-2042,Hospitality services,441,441,The,Contract Loss,"New York Hotel & Motel Trades Council, AFL-CIO",Plant Closing
1/25/2019,2018-0241,Plant Layoff,SAE Sun and Earth Energy Inc.,"444 Washington Street Rensselaer, NY 12144",Rensselaer County,(518) 444-2044,Hospitality services,441,441,The,Contract Loss,The employees are not represented by a union.,Plant Layoff
1/25/2019,2018-0241,Plant Layoff,"Monolith Solar Associates, LLC","444 Washington Street Rensselaer, NY 12144",Rensselaer County,(518) 444-2044,Hospitality services,441,441,The,Contract Loss,The employees are not represented by a union.,Plant Layoff
1/25/2019,2018-0243,Plant Layoff,"Monticello Raceway Management, Inc. (Casino)","204 State Route 17B Monticello, NY 12701",Sullivan County,(845) 428-7200 Ext. 1460,Hospitality services,441,441,The,Contract Loss,"New York Hotel & Motel Trades Council,  AFL-CIO - 92 employees; the Laborers' International Union of North America,  Local 17, AFL-CIO- 13 employees; the International Union of Operating  Engineers, Local 825 – 5 employees; and the Northeast Regional Council of  Carpenters, United Brotherhood of Carpenters and Joinders of America- 2  employees.",Plant Closing
1/18/2019,2018-0232,Plant Closing,"Third & 50, LLC (aka Dos Caminos)","825 Third Avenue New York, NY 10022",New York County,(718) 386-7187,Restaurant,100,100,Separation,Lease expiration,The employees are not represented by a union.,Plant Closing
1/18/2019,2018-0234,Plant Closing,"Mercedes Distribution Center, Inc.","63 Flushing Avenue, Unit 340 Brooklyn, NY 11205",Kings County,(718) 534-3003,Warehouse Distribution service,100,100,The,Economic,"International Brotherhood of Teamsters, Local 553",Plant Closing
1/18/2019,2018-0231,Plant Closing,Macy's,"7000 Fashion Drive Nanuet, NY 10954",Rockland County,(646) 787-4816,Retail Store,92,92,Separations,Economic,The employees are not represented by a union.,Plant Closing
1/16/2019,2018-0230,Plant Layoff,TheaterMania.com,"550 7th Ave New York, NY 10018",New York County,(416)-687-2062,"Offers directory of shows, tickets, and discounts across the U.S.",17,81,Separations,Economic,The employees are not represented by a union.,Plant Layoff
1/7/2018,2018-0225,Plant Layoff,Senior Rehab Solutions (Norwegian Home and Health Center),"1250 67th Street Brooklyn, NY 11219",Kings County,(214) 252-7653,Nursing home,22,22,The,Economic,The employees are not represented by a union.,Plant Layoff
1/16/2019,2018-0229,Plant Closing,"CareConnect Insurance Company, Inc.","2200 Northern Boulevard East Hills, NY 11548",Nassau County,(516) 405-7925,Health insurance market,46,40,Phase,Economic,The employees are not represented by a union.,Plant Closing
1/10/2019,2018-0226,Plant Closing,"Kohl's Department Stores, Inc. (Store #1328)","6135 Junction Blvd. Rego Park, NY 11374",Queens County,(262) 703-7000,Retail store,107,107,4/13/2019,Economic,The employees are not represented by a union.,Plant Closing
1/16/2019,2018-0177,Plant Closing,Thomson Reuters Corporation,"(Operations and Enablement - Technology, Content Operations & Legal Editorial) 50 East Broad Street Rochester, NY 14614",Monroe County,(651) 848-3154,Multinational mass media and information firm,207,327,Layoffs,Economic,The employees are not represented by a union.,Plant Closing
1/15/2019,2018-0228,Plant Closing,General Motors LLC (Cadillac New York Headquarters),"330 Hudson Street New York, NY 10013",New York County,(313) 407-9929,Automobile manufacturer and retailer.,97,97,Separations,Economic,The employees are not represented by a union.,Plant Closing
1/11/2019,2018-0223,Plant Closing,"Calvin Klein, Inc.","(Madison Collection Store) 654 Madison Avenue New York, NY 10065",New York County,(212) 292-9785,Clothing Retail store,29,29,Three,Economic,The employees are not represented by a union.,Plant Closing
1/10/2019,2018-0222,Plant Closing,Aveda Institute Inc.,"(Aveda Institute New York School) 233 Spring Street New York, NY 10013",New York County,(212) 230-6181,Beauty school,48,48,Separations,Sale of the Aveda Institute New York School,The employees are not represented by a union.,Plant Closing
1/7/2019,2018-0218,Plant Closing,"Independence Care System, Inc. (ICS)","257 Park Avenue South New York, NY 10010",New York County,(212) 584-2580,Managed Long-Term Care (MLTC),97,97,4/7/2019,"Due to changes in its business, ICS will be closing its MLTC line of business.",The employees are not represented by a union.,Plant Closing
1/9/2019,2018-0221,Plant Closing,"Pfizer, Inc.","64 Maple Street Rouses Point, NY 12979",Clinton County,(212) 733-2110,Pharmaceuticals (production),6,12,Separations,Economic,International Chemical Workers Union/UFCW Local 95c,Plant Closing
1/7/2019,2018-0216,Plant Closing,"AT&T Services, Inc.","(Billing Inquiry Call Center Operations) 250 South Clinton Street Syracuse, NY 13202",Onondaga County,(313) 421-9648,Telecommunications (Billing Inquiry Call Center Operations),155,155,4/12/2019,"Transfer of operations to Orange Park, Florida",Communications Workers of America,Plant Closing
1/7/2019,2018-0217,Plant Closing,"Lighthouse Management Services, LLC","300 Clinton Square Rochester, NY 14604",Monroe County,(585) 246-4151,Property management company,48,48,Layoffs,Termination of property management contracts,The employees are not represented by a union.,Plant Closing
1/6/2019,2018-0215,Plant Closing,Morrison Healthcare Food and Nutrition Services at Erie Medical Center,"462 Grider Street Buffalo, NY 14215",Erie County,(914) 426-8240,National food and nutrition services company,172,172,4/6/2019,Contractual Loss,"CSEA Local 1000, AFSCME, AFL-CIO",Plant Closing
12/27/2018,2018-0213,Plant Closing,Kmart Store (Unit 07677),"121 Bolivar Road Wellsville, NY 14895",Allegany County,(847) 286-1427,Retail Store,88,88,Employment,Economic,The employees are not represented by a union.,Plant Closing
12/27/2018,2018-0214,Plant Closing,Kmart Store (Unit 04928),"49 Dix Avenue Ext. Queensbury, NY 12804",Warren County,(847) 286-1427,Retail Store,60,60,Employment,Economic,The employees are not represented by a union.,Plant Closing
12/27/2018,2018-0211,Plant Closing,"Sears, Roebuck and Co. Full Line Store (Unit 01894)","10 Miracle Mile Dr. Rochester, NY 14623",Monroe County,(847) 286-1427,Retail Store,70,70,Employment,Economic,The employees are not represented by a union.,Plant Closing
12/28/2018,2018-0210,Plant Closing,"St. Lawrence Health Alliance, Inc.","3 Lyon Place Ogdensburg, NY 13669",St. Lawrence County,(315) 713-6612,Healthcare Services,72,72,3/31/2019,The Claxton-Hepburn Medical Center will assume operations and all employees will be offered employment.,The employees are not represented by a union.,Plant Closing
